product_id,name,categories,price,packing,image
25910890001,FRoSTA Mediterrane Gemüsepfanne,Tiefkühlkost,3.59,480g Packung,//assets.bringmeister.de/media/p/25910890001/0/a1a0426b2bd723d6ef1d8b1680923608.jpg
33729800081,Golden Toast Dinkelharmonie Sandwich,"Brot, Backwaren & Brotaufstriche",3.59,750g Packung,//assets.bringmeister.de/media/p/33729800081/0/c5476f47150e08197e5aabcfc2cd151e.jpg
1748220021,Henglein Frischer Blätterteig,Kühlregal,1.89,275g Packung,//assets.bringmeister.de/media/p/1748220021/0/b6793fde004363983048db4a2b00b08a.jpg
39481990011,SweetFamily Bio Zucker,Nahrungsmittel,2.59,1kg Packung,//assets.bringmeister.de/media/p/39481990011/0/fb7d9fc0fa35c5a0a19890a30fde2e17.jpg
28222480081,Andechser Natur Bio Quark Vanille 20 % Fett,Kühlregal,1.15,150g Becher,//assets.bringmeister.de/media/p/28222480081/0/4466802302fb25ff228de3e0103839c1.jpg
43516270061,FRoSTA MSC Tagliatelle Wildlachs,Tiefkühlkost,4.89,450g Packung,//assets.bringmeister.de/media/p/43516270061/0/8223d4897128eb96ee466a96ffcade13.jpg
1339890031,Schulte Feingebäck Schweinsöhrchen,Süßigkeiten & Salziges,2.29,250g Packung,//assets.bringmeister.de/media/p/1339890031/0/5129e93410358a3e103621690c4c7d77.jpg
1334200091,Delverde Farfalle,Nahrungsmittel,1.99,500g Packung,//assets.bringmeister.de/media/p/1334200091/0/79616581c0f0a23dd0e24232c1650064.jpg
23343990031,"Elinas Joghurt nach Griechischer Art Blutorange-Granatapfel 9,4 % Fett",Kühlregal,2.39,600g Packung,//assets.bringmeister.de/media/p/23343990031/0/4dd7dbf4f3310d94401be34391d9f945.jpg
1303250061,Maggi Würze,Nahrungsmittel,2.29,250g Flasche,//assets.bringmeister.de/media/p/1303250061/0/b9a97dc18d5d9cf774ef2806131dcdf4.jpg
10716660091,Golßener Spreewälder Frühlings-Kartoffelsalat,Kühlregal,2.05,200g Packung,//assets.bringmeister.de/media/p/10716660091/0/21caf42106ded9737464c52dd5fe7a3e.jpg
301072101,GUT&GÜNSTIG Frischkäse Kräuter 65 % Fett i. Tr.,Kühlregal,1.49,300g Becher,//assets.bringmeister.de/media/p/37099100071/0/6b9f47e18c3962495854ebb8305aa010.jpg
42186340081,Alnatura Bio Feine Bitterschokolade,Süßigkeiten & Salziges,1.49,100g Packung,//assets.bringmeister.de/media/p/42186340081/0/3f00f7dc59b4efd9acc11d89c010e25d.jpg
14647040081,Golßener Spreewälder Gurkensülze,Kühlregal,1.99,100g Packung,//assets.bringmeister.de/media/p/14647040081/0/db0b24e5ccc3245772182c86ef748cd9.jpg
8372090091,Gepa Bio Grand Noir Edelbitter 85%,Süßigkeiten & Salziges,2.35,100g Tafel,//assets.bringmeister.de/media/p/8372090091/0/bf6db69b6026b77ee5540d7675fde886.jpg
1807470071,Mühlhäuser Konfitüre Extra Sauerkirsche,"Brot, Backwaren & Brotaufstriche",2.39,450g Glas,//assets.bringmeister.de/media/p/1807470071/0/ab665af492a8ccbc23546b2f6d892f53.jpg
1757440061,Mevgal Griechischer Sahne-Joghurt 10 % Fett,Kühlregal,1.69,200g Becher,//assets.bringmeister.de/media/p/1757440061/0/f7a79ab55af7c3bac807d3175f392cdd.jpg
29691470041,Alnatura Bio Leinöl nativ,Nahrungsmittel,2.99,250ml Flasche,//assets.bringmeister.de/media/p/29691470041/0/6a2924d94bcffaebd76d9d55bdff4e98.jpg
